solver,problem,restarts,conflicts,decisions,propagations,conf_lits,num_ev,ev_decisions,ev_conflicts,ev_learnt,total_lbd,mem_used,cpu_time,er_time,satisfiability
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_counter_chain_restricted/round72_restrict500_maplesat_preprocess.cnf,70,20132,152086,35444272,517713,0,0,0,0,160437,21,19.4152,3.00E-05,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_counter_chain_restricted/round26_restrict450_maplesat_preprocess.cnf,19322,12976654,15476555,8202964086,1335383093,0,0,0,0,437755433,115,4946.45,0.00125,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_counter_chain_restricted/round30_restrict460_maplesat_preprocess.cnf,9020,5682479,7835275,14092579153,576320662,0,0,0,0,200284751,106,4947.95,0.000958,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_dot_matrix_restricted/round30_restrict490_maplesat_preprocess.cnf,954,392608,744317,532146898,17457085,0,0,0,0,5776874,21,157.109,0.000242,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2017/bench_2426.smt2_maplesat_preprocess.cnf,511,225870,428290,143962774,10070750,0,0,0,0,4275400,23,40.8449,0.000174,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019C/dspfilters_fastfir_second-p17.aig_unroll9_maplesat_preprocess.cnf,3,284,943,825094,8613,0,0,0,0,1420,18,0.203785,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round72_restrict500_maplesat_preprocess.cnf,105,28923,249083,60583195,618284,0,0,0,0,231475,21,21.4297,4.40E-05,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round34_restrict460_maplesat_preprocess.cnf,14696,9050117,10904209,10885118638,814267673,0,0,0,0,318774673,156,4948.66,0.001714,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_dot_matrix_restricted/round42_restrict465_maplesat_preprocess.cnf,3674,1896448,4867317,11086827052,105709611,0,0,0,0,59697602,48,4948.35,0.000738,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_two_operand_restricted/round60_restrict505_maplesat_preprocess.cnf,6,707,8086,948025,7994,0,0,0,0,3115,16,0.398888,0,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_counter_chain/rounds38_maplesat_preprocess.cnf,12924,8063313,37608745,9217331575,1528158889,0,0,0,0,577950146,187,4946.43,0.002768,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/goel/industry/gen31/gen31.aig_unroll15_maplesat_preprocess.cnf,308,115593,2938223,118393025,20930405,0,0,0,0,7896751,27,27.9376,0.000134,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019C/dspfilters_fastfir_second-p28.aig_unroll21_maplesat_preprocess.cnf,157,51085,210251,283266452,4327554,0,0,0,0,694423,76,80.1434,2.60E-05,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round26_restrict500_maplesat_preprocess.cnf,1,50,120,7800,387,0,0,0,0,171,11,0.010308,0,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/cnfgen/tseitin/tseitin_88_9_grid_maplesat_preprocess.cnf,264164,236992731,487132336,1314624616,8567336083,0,0,0,0,7484514902,742,4918.21,0.005892,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019C/qspiflash_qflexpress_divfive-p023.aig_unroll15_maplesat_preprocess.cnf,1,16,57,1334,61,0,0,0,0,53,11,0.004147,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round76_restrict445_maplesat_preprocess.cnf,4473,2595538,6560158,10847651494,326340358,0,0,0,0,99197382,92,4948.6,0.000763,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/cnfgen/tseitin_rnd/3regular/tseitin_240n_3regular_maplesat_preprocess.cnf,194742,156528382,237633965,1090134077,7441115094,0,0,0,0,6657822525,327,4928.06,0.005289,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2016/bench_7617.smt2_maplesat_preprocess.cnf,15,2619,6549,87356,19015,0,0,0,0,13438,12,0.036493,3.00E-06,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/grandtour_puzzle_2018/gto_p60c241_maplesat_preprocess.cnf,2876,1477891,1674706,31897103,30911606,0,0,0,0,17535200,22,41.9687,0.000562,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/mann/data-integrity/unsafe/circular_pointer_top_w16_d16_e0.aig_unroll20_maplesat_preprocess.cnf,1117,538728,2051088,164375397,14570100,0,0,0,0,5975433,21,39.0526,0.000172,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_counter_chain_restricted/round30_restrict510_maplesat_preprocess.cnf,1,8,25,19215,30,0,0,0,0,21,14,0.019871,0,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/mann/data-integrity/unsafe/arbitrated_top_n5_w64_d64_e0.aig_unroll21_maplesat_preprocess.cnf,659,279477,399733,252268893,8467969,0,0,0,0,3563229,295,153.122,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019C/qspiflash_dualflexpress_divthree-p011.aig_unroll12_maplesat_preprocess.cnf,13,1944,3370,144094,22680,0,0,0,0,11239,11,0.067701,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2018D/zipcpu-pfcache-p13.aig_unroll9_maplesat_preprocess.cnf,1,32,2230,4328,206,0,0,0,0,178,12,0.021669,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/sorting_networks_2016/snw_13_8_CCSEncnopre_maplesat_preprocess.cnf,2045,958639,1242881,1729613845,27148901,0,0,0,0,9376631,57,522.503,0.000305,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/mann/data-integrity/unsafe/arbitrated_top_n4_w64_d128_e0.aig_unroll22_maplesat_preprocess.cnf,739,303787,440235,327236701,8885521,0,0,0,0,3831203,462,204.767,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_two_operand_restricted/round78_restrict475_maplesat_preprocess.cnf,3398,1763759,4479140,10208081953,226489990,0,0,0,0,41119909,53,4947.97,0.00095,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019C/qspiflash_dualflexpress_divfive-p082.aig_unroll22_maplesat_preprocess.cnf,1,87,917,5695,301,0,0,0,0,223,12,0.004357,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_counter_chain_restricted/round64_restrict460_maplesat_preprocess.cnf,5245,3017154,6459678,11824221957,435705958,0,0,0,0,96811847,101,4948.41,0.001057,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2017/bench_1388.smt2_maplesat_preprocess.cnf,1023,504050,914899,520662183,30009325,0,0,0,0,11905594,43,121.888,0.000267,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2018D/picorv32-check-p01.aig_unroll19_maplesat_preprocess.cnf,19,3627,20845,1042675,53399,0,0,0,0,24840,27,0.448984,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2018D/picorv32-check-p17.aig_unroll17_maplesat_preprocess.cnf,8,1247,25095,521612,10331,0,0,0,0,6215,27,0.265883,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019C/dspfilters_fastfir_second-p17.aig_unroll20_maplesat_preprocess.cnf,1332,627801,1597548,2718391628,56141834,0,0,0,0,8656263,76,927.312,0.000348,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2018A/zipcpu-busdelay-p18.aig_unroll17_maplesat_preprocess.cnf,1,91,150,8753,566,0,0,0,0,343,11,0.006691,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/goel/opensource/h_b05/h_b05.aig_unroll19_maplesat_preprocess.cnf,1,38,532,8468,416,0,0,0,0,226,11,0.008406,0,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2018D/zipcpu-zipmmu-p24.aig_unroll22_maplesat_preprocess.cnf,1,70,416,14151,304,0,0,0,0,227,13,0.016537,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019C/qspiflash_dualflexpress_divfive-p012.aig_unroll9_maplesat_preprocess.cnf,3,296,630,13427,2607,0,0,0,0,1451,11,0.004865,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2018D/zipcpu-zipmmu-p14.aig_unroll20_maplesat_preprocess.cnf,10,1431,3419,214986,20594,0,0,0,0,9662,13,0.072684,0,UNSATISFIABLE
