solver,problem,restarts,conflicts,decisions,propagations,conf_lits,num_ev,ev_decisions,ev_conflicts,ev_learnt,total_lbd,mem_used,cpu_time,er_add_time,er_delC_time,er_delV_time,er_sub_time,satisfiability
maplelcm,/scratch/jt2chung/sat2020/fermat-33106286870663.cnf,3334,823151,1330073,515468285,32807367,0,0,0,0,,79,343.817,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/combined-crypto1-wff-seed-18-wffvars-450-cryptocplx-40-overlap-2.cnf,41417,31074806,36831977,1785348688,694914601,0,0,0,0,,186,4971.98,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/vlsat2_15960_1464039.dimacs.cnf,20555,24255932,34229252,8222473961,8862193716,0,0,0,0,,538,4968.01,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/Kakuro-easy-041-ext.xml.hg_4.cnf,6433,2672276,11698815,1195427411,91381840,0,0,0,0,,417,685.776,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/combined-crypto1-wff-seed-107-wffvars-500-cryptocplx-31-overlap-2.cnf,38530,32628502,38426570,2007883883,763864974,0,0,0,0,,169,4974.27,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/4g_5color_170_060_05.cnf,20881,11735007,21927764,10541794793,1306061623,0,0,0,0,,453,4970.36,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/ps_300_312_20.cnf,6725,2044563,49110250,3392286014,59979478,0,0,0,0,,717,1763.06,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/abw-N-bcsstk07.mtx-w35.cnf,16865,8463498,43930404,16780804499,1170162979,0,0,0,0,,1284,4977.73,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/gto_p50c314.cnf,211343,83686605,105895564,3021880958,4085018034,0,0,0,0,,108,4990.22,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/vlsat2_30195_3855554.dimacs.cnf,16240,16714181,32443329,8188427950,8726683656,0,0,0,0,,867,4961.6,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/6g_5color_166_100_01.cnf,2614,1216954,4284714,8283534733,308962319,0,0,0,0,,10892,4961.97,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/Timetable_C_241_E_34_Cl_16_S_12.cnf,78601,11101914,417344823,16502358921,1778685549,0,0,0,0,,487,4985.17,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/ps_200_323_70.cnf,3864,798197,37227416,370511609,17724617,0,0,0,0,,362,177.741,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/sv-comp19_prop-reachsafety.queue_longer_false-unreach-call.i-witness.cnf,201,72329,9739585536,11972015978,701786,0,0,0,0,,4938,2409.76,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/newpol6-6.cnf,935,555980,9544974,657335543,26912731,0,0,0,0,,134,175.181,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/baseballcover11with22_and2positions.cnf,1586,299817,39412431,8915033996,4112885,0,0,0,0,,1707,4989.25,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/Timetable_C_497_E_62_Cl_33_S_30.cnf,2605,591835,170738490,1013552650,54767070,0,0,0,0,,400,226.079,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/fclqcolor-20-15-12.cnf.gz.CP3-cnfmiter.cnf,696,85554,72023962,251751117,278410165,0,0,0,0,,950,548.13,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/size_5_5_5_i019_r12.cnf,99173,27413740,39727586,5194398851,1231922305,0,0,0,0,,183,4472.31,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/ncc_none_3_16_3_3_0_0_435991723.cnf,271,148488,3175204667,6114264532,9306070,0,0,0,0,,1515,4986.74,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/Kakuro-easy-127-ext.xml.hg_6.cnf,17581,4496226,29717443,4135156120,125170076,0,0,0,0,,2704,2997.62,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/rbsat-v2640c305320g4.cnf,64811,36676194,51130334,4510509672,6638630708,0,0,0,0,,241,4983.05,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/vlsat2_21114_2240429.dimacs.cnf,9370,12568004,20154003,4981472377,5292969891,0,0,0,0,,595,4971,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/e_rphp096_04.cnf,101553,22765084,406860734,3744529678,546282245,0,0,0,0,,421,4970.56,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/TT7F-33-26.cnf,139644,22601937,108672196,1985413766,1903195311,0,0,0,0,,291,4973.46,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/bv-term-small-rw_1159.smt2.cnf,35829,16001362,21918752,8250539246,703770521,0,0,0,0,,182,4984.64,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/gto_p60c241.cnf,2935,1920935,2281809,119440056,48065530,0,0,0,0,,57,165.923,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/22930-0601-11.smt2.cnf,45101,14010994,16161441,7354557598,462062995,0,0,0,0,,160,4987.67,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/atco_enc1_opt2_10_16.cnf,19178,5194900,8204324,1517902992,189101634,0,0,0,0,,128,768.405,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/ncc_none_12477_5_3_3_0_0_435991723.cnf,1633,684971,5512668357,9710802331,2510045,0,0,0,0,,654,4554.64,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/schur-triples-7-60.cnf,7418,1914613,6705444,3342661815,166022377,0,0,0,0,,218,622.317,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/preimage_80r_494m_160h_seed_378.cnf,2911,788831,6470045,5244650361,74123121,0,0,0,0,,190,2922.74,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/DLTM_twitter774_83_17.cnf,15622,7617669,13567775,13065921621,297971950,0,0,0,0,,134,4986.01,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/IBM_FV_2004_rule_batch_1_31_1_SAT_dat.k90.debugged.cnf,23493,6441184,22154194,13866840724,483337081,0,0,0,0,,302,4982.95,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/beempgsol5b1.cnf,1711,759459,3564109,868488093,32067693,0,0,0,0,,112,276.947,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/abw-X-can__715.mtx-w103.cnf,2523,710110,41797203,4642120194,2093267455,0,0,0,0,,4770,4158.51,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/TT7F-33-24E.cnf,179835,26853825,141554906,2234083644,2231314982,0,0,0,0,,417,4972.2,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/DLTM_twitter249_74_11.cnf,18662,6232903,12012606,12100935233,272159363,0,0,0,0,,143,4986.63,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/59-131147.cnf,38323,13062029,22957990,655126114,1128739292,0,0,0,0,,330,1540.84,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/Timetable_C_392_E_62_Cl_26_S_28.cnf,1875,439819,149640953,673547886,44691657,0,0,0,0,,362,199.534,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/TT7F-33-24B.cnf,153137,23465991,121326843,1948238690,1968680828,0,0,0,0,,418,4974.99,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/sted4_0x1e3-124.cnf,20230,8845024,12391361,1453521020,326299426,0,0,0,0,,112,1355.88,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/sat2020/8-5-6.cnf,72647,13695706,41311622,12151228842,1310418083,0,0,0,0,,418,4979.61,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/sat2020/Kakuro-easy-117-ext.xml.hg_5.cnf,6252,1762625,18700074,1408367574,52096096,0,0,0,0,,2090,1272.12,0,0,0,0,SATISFIABLE
