3500             2345.73	    
3500		 1284.59	    
3500		 384.501	    
3500		 356.946	    
6.84553		 6.37479	    
3500		 89.75	    
3500		 3500	    
3500		 104.783	    
3500		 69.039	    
3500		 2733.38	    
3500		 29.478	    
3500		 3500	    
3500		 3500	    
3500		 3500	    
3500		 3500	    
3500		 20.9405	    
3500		 3500	    
3500		 3500	    
3500		 3500	    
1841.89		 214.732	    
3500		 1578.48	    
3500		 1340.05	    
3500		 3500	    
0.89423		 0.815135    
1467.07		 2035.32	    
3500		 3500	    
3500		 1012.37	    
3500		 3500	    
3500		 577.66	    
3500		 3500	    
3500		 3493.04	    
3500		 3500	    
3500		 3500	    
3500		 3500	    
1.38931		 1.54909	    
3500		 3500	    
3500		 555.902	    
3500		 1741.79	    
576.528		 989.224	    
3500		 454.527	    
1947.71		 3500	    
13.8971		 22.4067	    
17.4587		 14.9198	    
3500		 435.577	    
3500		 3500	    
3500		 3438.24	    
3500		 3500	    
3500		 3500	    
7.37371		 8.74553	    
1944.48		 186.562	    
1588.26		 159.777	    
492.831		 852.269	    
3500		 3500	    
206.087		 70.3	    
86.1633		 84.0649	    
17.5298		 10.5187	    
3500		 3500	    
1076.94		 121.011	    
3500		 3500	    
3500		 3500	    
4.62578		 4.27098	    
3500		 3500	    
3500		 3500	    
3500		 3447.97	    
3500		 3500	    
549.835		 926.313	    
646.02		 828.36	    
7.1539		 33.2769	    
671.557		 807.209	    
854.615		 1194.79	    
61.6624		 29.6287	    
56.6832		 57.1292	    
43.8138		 54.483	    
6.27034		 7.34971	    
54.1332		 63.9002	    
3500		 3500	    
3500		 3500	    
37.668		 66.045	    
1278.6		 1796.76	    
26.3643		 42.1189	    
391.038		 468.795	    
428.607		 1120.62	    
463.643		 664.451	    
3500		 3500	    
651.739		 432.423	    
152.894		 232.094	    
28.9028		 38.3017	    
3500		 3500	    
317.321		 469.909	    
294.216		 3468.9	    
3500		 3500	    
3500		 3500	    
3500		 3500	    
3500		 3500	    
345.158		 396.889	    
3500		 3500	    
3500		 3442.06	    
10.5309		 16.6115	    
15.5286		 18.0427	    
5.83235		 5.77484	    
2366.25		 2880.27	    
3.32372		 4.09191	    
3500		 3500	    
3500		 3500	    
50.0109		 38.0971	    
3500		 3500	    
3500		 3500	    
3500		 3488.37	    
3500		 3500	    
3500		 3500	    
745.885		 792.11	    
3500		 3500	    
