4	0.004011
5	0.025323
6	0.354726
7	0.523756
8	1.67228
9	1.66236
10	2.44652
11	2.24137
12	2.57423
13	3.17936
14	4.64563
15	5.4349
16	7.83432
17	9.94107
18	12.3159
19	39.8176
20	14.3735
21	18.9251
22	21.7077
23	31.4864
24	26.2647
25	27.8377
26	51.2316
27	62.9748
28	51.8976
29	52.0784
30	65.1159
31	75.4565
32	77.7734
33	74.647
34	92.9361
35	107.355
36	149.169
37	155.07
38	194.188
39	177.858
40	218.217
41	227.51
42	283.168
43	306.77
44	346.595
45	374.174
46	504.359
47	556.755
48	685.372
49	646.609
50	870.621
51	887.81
52	895.9
53	1084.62
54	1021.42
55	1404.69
56	1243.72
57	1303.98
58	1496.93
59	1467.77
60	1851.6
61	1888.65
62	1634.32
63	2224.91
64	2455.13
65	2652.89
66	2778.45
67	3252.65
68	3905.81
69	3278.52
70	4270.77
71	4631.34
72 	3995.04
73 	4448.06
74 	4612.88
75 	4062.4
76 	3277.21
77 	4041.74
78	3305.65
79 	3272.97
80 	3434.48
81 	3801.72
82 	2792.98
83 	2826.94
84 	2903.27
85 	3445.33
86 	2454.13
87 	3774.05
88 	3473.84
89 	2666.68
90 	2540.26
91 	1416.28
92 	1485.7
93 	1594.36
94 	1667.29
95 	1726.78
96 	1750.99
97 	1862.42
98 	1976.17
99 	2105.61
100 	2081.97
